,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,How to Improve Testosterone,2023-01-26,95391,4377,0,225,Jan
1,"Why Arnold Did ""Feet Up"" Bench Press",2023-01-20,42107,2194,0,97,Jan
2,Virat Kohli's Gym Workout,2022-12-25,161154,7537,0,250,Dec
3,Why 85% people start to have Back Pain,2022-12-20,119462,6232,0,308,Dec
4,Serious Advice on How to Increase Weight !!,2022-11-25,52282,3393,0,118,Nov
5,Meal For Muscle Gain | Ready in 10 Mins,2022-11-21,490008,21259,0,437,Nov
6,Glutes and Hamstrings Myth,2022-10-23,34193,2229,0,119,Oct
7,How to develop Chest Fibers,2022-10-17,63642,4559,0,246,Oct
8,Yeh Kaun si Exercise kar rahe hai log ??,2022-08-15,123266,8242,0,319,Aug
9,BEST exercise for BICEPS !!,2022-08-12,140871,9136,0,348,Aug
10,Avoid this Simple Mistake | Back Workout,2022-05-29,133692,8826,0,326,May
11,Close Grip or Wide Grip for BIG SHOULDERS ?,2022-05-21,189136,11833,0,404,May
12,Biceps Building Super Set,2022-03-16,156242,9857,0,305,Mar
13,Simple Solution for SQUATS,2022-02-08,146141,9347,0,304,Feb
14,Simple Sugar Vs Honey Post Workout,2022-01-26,69242,4850,0,196,Jan
15,PUSH Day - Chest and Delts,2022-01-05,173275,9896,0,291,Jan
16,Plateau Bursting PULL Workout,2022-01-02,139331,8575,0,239,Jan
17,Periodisation with Push/Pull Workout series,2021-12-25,117056,7701,0,264,Dec
18,A Superset for BACK for Width and Thickness,2021-11-26,345374,18863,0,504,Nov
19,Inner and Outer Chest Fibers,2021-11-21,307151,16544,0,385,Nov
20,My Pre Workout Meal,2021-11-12,245894,10743,0,98,Nov
21,Workout and Tips fro Big Arms,2021-11-09,389602,22479,0,777,Nov
22,How to Train with a Partner,2021-10-31,138620,9801,0,187,Oct
23,Biggest Gym Mistake | Asking Gym Trainers ??,2021-10-29,337189,24200,0,486,Oct
24,Correct way to Build your Back,2021-10-26,370373,20663,0,369,Oct
25,Gym Jaane se Pehle kya Khaye ?,2021-10-16,206808,14799,0,492,Oct
26,My Navratri Veg Diet Plan,2021-10-11,122272,9154,0,292,Oct
27,15 Minutes Workout for Big biceps,2021-08-23,542475,26757,0,810,Aug
28,Full Day of Eating |Muscle Gain,2021-08-15,469906,25696,0,880,Aug
29,Complete Triceps workout for Muscle Building,2021-08-14,628618,24198,0,544,Aug
30,Biceps Volumizing Technique,2021-08-10,172242,16245,0,374,Aug
31,5 Best Foods for Bulking,2021-07-30,606751,36940,0,1093,Jul
32,Complete Chest Workout for Growth,2021-07-19,537723,25108,0,706,Jul
33,Intense Workout for Big Shoulders,2021-07-09,449114,22133,0,993,Jul
34,Intense Mass Building BACK Workout,2021-07-08,186706,12401,0,660,Jul
35,How to build a Six Pack Abs,2021-07-02,392179,34300,0,1025,Jul
36,Chest Vs Triceps,2021-06-21,157660,13956,0,529,Jun
37,Best Diet for Bulking (Mass gain),2021-06-15,458309,29801,0,863,Jun
38,Blasting Fat loss Home Workout,2021-05-28,424759,31842,0,778,May
39,Why you Stop Growing Muscles ??,2021-04-23,303087,22446,0,860,Apr
40,1.5 Kg Chicken + 15 eggs Daily,2021-04-11,1220912,56556,0,1236,Apr
41,Supplements for Bulking vs Cutting,2021-03-26,826415,35504,0,1406,Mar
42,How to Build a Champion Back,2021-03-24,610487,35666,0,719,Mar
43,Try This for CHEST,2021-02-13,388626,29735,0,930,Feb
44,Indian Style Potty is BEST,2021-02-11,281791,22125,0,960,Feb
45,How to get Triceps Horse Shoe Shape ?,2021-02-08,289512,24551,0,742,Feb
46,Koi Nahi... Seh Lenge Thoda,2021-01-26,1133433,82091,0,1198,Jan
47,Complete Back Workout for Mass,2020-12-25,1002140,54756,0,1235,Dec
48,How to build Thick Lower LATS,2020-12-02,216416,21605,0,657,Dec
49,My First Ever Video| 26 Nov 2016 | Triceps,2020-11-30,368564,33632,0,992,Nov
50,Gaye to the Workout karne... Lekin !!!!,2020-11-27,2008992,135352,0,1932,Nov
51,You Might Vomit after this Intense LEG WORKOUT,2020-11-16,916189,48670,0,1560,Nov
52,Protein Power Veg Meal | 34gm Protein,2020-11-15,225544,17151,0,416,Nov
53,Complete CHEST and BICEPS  hardcore Workout,2020-11-11,553186,33159,0,994,Nov
54,Coming Soon | Full Body Mass Gain Series,2020-11-08,115968,11083,0,495,Nov
55,Get new Growth in your CHEST with this,2020-11-06,229447,22490,0,541,Nov
56,2 Biggest DeadLift Mistakes !!,2020-11-05,514369,37321,0,839,Nov
57,How to inc Protein Absorption (Protein Synthesis ),2020-11-04,417414,27875,0,1123,Nov
58,Gym mein STUD log !!,2020-10-31,2133775,139959,0,1793,Oct
59,Cannot do Heavy Bench press. Try This for BIG CHEST,2020-10-30,339614,26806,0,917,Oct
60,A Special Recipe for Gaining Lean Muscle,2020-10-29,254879,23642,0,615,Oct
61,Giving Away All my Supplements | VLOG,2020-10-28,774402,65502,0,3041,Oct
62,How @OfficialJeffSeid  reached the Mr Olympia stage,2020-10-27,324601,25684,0,686,Oct
63,Back Workout Mistakes + A special Supplement Launched !!,2020-10-26,183772,17297,0,640,Oct
64,"L Carnitine Vs CLA , Better FAT LOSS Supplement ?",2020-10-24,541979,18739,0,1192,Oct
65,"How to start your Workout again, After Lockdown.",2020-10-16,124103,13014,0,790,Oct
66,GYM mein Kalakaar log !!,2020-09-17,1583093,112734,0,2796,Sep
67,Mat karo GYM mein yeh sab !! Please,2020-09-14,871530,71186,0,1808,Sep
68,How to build Roundness in Shoulders ?,2020-09-10,243889,18417,0,740,Sep
69,Best Dumbbell workout for CHEST,2020-08-29,465797,29336,0,963,Aug
70,Is your BICEPS still not growing ??,2020-08-15,371694,27718,0,1027,Aug
71,Dumbbell ONLY Shoulder Workout !! Delts Blaster,2020-08-13,288092,22378,0,1157,Aug
72,Why People Tear BICEPS during DEADLIFTS ?,2020-08-12,1148077,75537,0,3135,Aug
73,Weird and FAKE Bodybuilders !!,2020-08-06,3435436,172137,0,4808,Aug
74,Gym mein STUD na bane..,2020-08-05,1892308,127162,0,2416,Aug
75,Common Mistake while doing Shoulders,2020-07-17,248616,19659,0,727,Jul
76,Spiders Curls vs Concentration Curls for Biceps growth,2020-07-10,204241,17096,0,616,Jul
77,Triceps Underhand + Overhand Superset for Max growth,2020-07-01,212243,18265,0,1230,Jul
78,How to make your Shoulders Round and Big !,2020-06-30,351716,25443,0,919,Jun
79,Wide Squats Vs Regular Squats,2020-06-29,319152,23822,0,731,Jun
80,5 best Yoga Asana for Bodybuilders !!,2020-06-21,293989,24953,0,879,Jun
81,Full Body Workout with Dumbbells Only,2020-05-29,742121,42213,0,1731,May
82,Lower Back vs Upper Back Deadlifts ?,2020-05-28,216233,24699,0,700,May
83,Best Biceps Exercise at Home,2020-05-22,444123,33070,0,1489,May
84,Two BEST Back Exercise for Mass and Thickness,2020-05-21,540946,39232,0,1409,May
85,Something IMPORTANT,2020-05-15,336077,27515,0,1352,May
86,Best Diet to follow in this Lockdown Period,2020-04-23,181098,10928,0,839,Apr
87,How much protein to take during Home Workouts | QnA,2020-04-22,132173,8214,0,733,Apr
88,Strongest Muscle Building Agent,2020-03-05,124316,7002,0,626,Mar
89,How to Avoid Muscle Loss,2020-02-27,333830,15148,0,534,Feb
90,Are you FAT ? THYROID can be the reason.,2020-02-16,56264,3692,0,252,Feb
91,How to build Fibers in the CHEST,2020-02-14,829400,35586,0,757,Feb
92,How to build WIDE Back FAST (4 tips),2020-01-23,695859,32397,0,863,Jan
93,Stuck with NO BICEPS GROWTH ? Arnold's Secret is here..,2020-01-21,1441403,51783,0,817,Jan
94,Glucon D during workout to gain max Muscle ??,2020-01-15,1088524,44969,0,38,Jan
95,Aise karte hai Badmaashi !!,2019-11-29,465127,21261,0,647,Nov
96,"If you go to the GYM, watch this video",2019-11-28,139554,7438,0,689,Nov
97,What is the best workout for FAT LOSS,2019-11-19,281829,16255,0,650,Nov
98,INSTAGRAM ki Sacchayi..,2019-11-06,179400,8043,0,342,Nov
99,Beginner Arms workout Guide,2019-10-28,159474,8546,0,301,Oct
100,This Supplement is better than WHEY PROTEIN !!!,2019-10-26,383849,16010,0,966,Oct
101,Launching a NEW SUPPLEMENT snack | First in India,2019-10-07,141434,6613,0,925,Oct
102,Build your Upper Chest Thickness | This Works !!,2019-09-28,245943,11143,0,457,Sep
103,Snatch Deadlift for Back,2019-09-25,195734,10670,0,444,Sep
104,What Supplement Companies HIDE from us,2019-09-19,523008,23196,0,1410,Sep
105,Workout on Empty Stomach ??,2019-09-17,225257,13554,0,1011,Sep
106,How to get a Wider Arm from the side 💪,2019-08-14,667605,25314,0,655,Aug
107,One Exercise that puts Max Muscle on triceps,2019-08-10,223516,11721,0,360,Aug
108,How Foreign Bodybuilders get so BIG | Periodisation,2019-07-30,165051,10677,0,791,Jul
109,3 Best tips for Wider Back !!,2019-07-25,610627,30956,0,763,Jul
110,4 things you should do before Workout to get Results,2019-07-21,1474062,70534,0,1206,Jul
111,How to get Massive Calves | Real truth,2019-06-30,83646,4703,0,243,Jun
112,Best Fat loss Workout | FitMuscle TV,2019-06-12,1209637,47384,0,794,Jun
113,BIG TRAPS MOVEMENT,2019-05-29,107691,6772,0,286,May
114,"Bench Press vs Chest Fly, Which is better for muscle building ?",2019-05-23,209936,9285,0,404,May
115,Why Indians don't get as Big as Foreign Bodybuilders,2019-05-12,1201249,57043,0,2977,May
116,Best Meal Replacement for Mass in Summers !!,2019-05-08,235577,14304,0,602,May
117,Leg Workout challenge.. FitMuscleTV,2019-04-25,131076,8359,0,510,Apr
118,Bodybuilding and Hair loss | how to prevent it ?,2019-04-22,348976,13328,0,678,Apr
119,Best way to build Biceps Peak 💪,2019-04-17,796487,38888,0,959,Apr
120,Smith Machine Squat Hutiyapa,2019-04-15,254173,9088,0,474,Apr
121,Kya biceps auur triceps same day kar sakte hai ?,2019-04-06,312208,16691,0,515,Apr
122,Biggest Supplement Store in India | Original Supplements guaranteed,2019-03-28,926538,31763,0,1464,Mar
123,Complete Triceps Workout for Mass,2019-03-22,176295,12029,0,468,Mar
124,When should you wear a Supporter in the GYM ?,2019-03-20,589698,32643,0,1096,Mar
125,Full Day of Eating - Vegetarian Muscle Building,2019-02-27,569446,24007,0,1002,Feb
126,40kg Chest Workout Challenge,2019-02-25,149031,7777,0,496,Feb
127,Best and Cheapest food for vegetarians for bulking,2019-02-19,255689,11318,0,600,Feb
128,How to get Big forearms /Wrists,2019-02-12,438424,33309,0,991,Feb
129,Complete Shoulder Workout Plan in 60 seconds | FitMuscleTV,2019-01-28,143664,7247,0,378,Jan
130,Amazing Muscle Building Breakfast Recipe | FitMuscleTV,2019-01-25,1686727,65124,0,1807,Jan
131,Low Bar vs High Bar Squats | FitMuscle TV,2019-01-24,149974,8352,0,387,Jan
132,Backstage Bodybuilding Truths !!,2019-01-23,116031,7236,0,210,Jan
133,Full Day of Eating for Muscle Gain | FitMuscle TV,2019-01-23,1450289,50587,0,1658,Jan
134,Important Supplement for Vegetarians | FitMuscle TV,2019-01-16,80170,4192,0,411,Jan
135,Ultimate Chest workout for Muscle Mass ft RSR | FitMuscleTV,2019-01-01,309458,16117,0,955,Jan
136,Chest training in 60 Seconds | FitMuscle TV,2018-12-27,132086,8240,0,439,Dec
137,Oats vs Daliya ? Which Is Better For Strength | FitMuscleTV,2018-12-24,1649294,52983,0,1470,Dec
138,Top 4 Supplements for Bulking,2018-12-07,1137668,42584,0,1138,Dec
139,What causes Lower Back Pain and how to get rid of it,2018-11-27,660427,27139,0,1179,Nov
140,Black Friday Sale | Cheapest Protein of the year in India,2018-11-22,143018,5004,0,893,Nov
141,5 Quick Tips For Muscular Shoulders | FitMuscle TV,2018-11-17,107063,5868,0,529,Nov
142,The Ultimate Shoulder Workout | FitMuscle TV,2018-11-10,685149,32139,0,938,Nov
143,Biggest Expose Video In Fitness | FitMuscleTV,2018-11-05,324414,22400,0,3034,Nov
144,5 Tips To Stop Overeating | FitMuscle TV,2018-10-27,101165,6083,0,366,Oct
145,5 Muscle Building Mistakes Beginners Do | FitMuscle TV,2018-10-13,375689,24114,0,748,Oct
146,How much Whey protein should you drink in a Day | FitMuscle TV,2018-10-05,598871,28309,0,929,Oct
147,Which is the Best Whey Protein Brand? | FitMuscle TV,2018-10-02,808634,26533,0,1327,Oct
148,DTP vs FST | 7 Training Principle | FitMuscle TV,2018-09-26,125065,6531,0,452,Sep
149,Mr Olympia 2018 Phil Heath vs Shawn Rhoden,2018-09-16,289635,7643,0,637,Sep
150,What To Eat Before Morning Workout | FitMuscle TV,2018-09-13,1257009,44297,0,1241,Sep
151,Should You Train Abs While Bulking ? | FitMuscle TV,2018-09-11,188338,9105,0,429,Sep
152,"New Trend in Fitness, Dangerous | FitMuscle TV",2018-09-08,199590,10299,0,775,Sep
153,Rice Vs Roti | FitMuscle TV,2018-09-03,112703,5264,0,360,Sep
154,A Fitness Youtuber Gave Me Injections | FitMuscleTV,2018-08-25,225513,16076,0,0,Aug
155,Why Professionals Cannot Workout Without AMP ?? | FitMuscle TV,2018-08-22,194589,10008,0,1396,Aug
156,Avoid These 5 Diet Mistakes | FitMuscleTV,2018-08-11,151828,8197,0,509,Aug
157,Having Fun with Tarun Gill in Mumbai | FitMuscleTV,2018-08-05,262817,9819,0,2266,Aug
158,Do We Really Need To Eat Carbs ?? Final Answer | FitMuscle TV,2018-07-25,277501,18886,0,3537,Jul
159,Complete Beginner Chest Workout | FitMuscle TV,2018-07-21,275697,16349,0,912,Jul
160,How I Got Biceps Peaks | Best Exercise | FitMuscleTV,2018-07-04,185020,12265,0,1450,Jul
161,How Many Sets To Do For Maximum Muscle Growth | FitMuscle TV,2018-06-30,603992,32502,0,1394,Jun
162,How Does Masturbation Affects Your Fitness | Truth | FitMuscleTV,2018-06-23,3779574,193468,0,7286,Jun
163,How to correct Muscle Imbalance QnA.,2018-06-21,72113,4470,0,382,Jun
164,Did this for 7 Days and the Results Were Amazing | FitMuscle TV,2018-06-18,181202,10264,0,580,Jun
165,Final Truth about BCAA + Supplement Giveaway | FitMuscleTV,2018-06-12,444820,23958,0,6712,Jun
166,How Many Mangoes To Eat In A Day For Fat Loss | FitMuscleTV,2018-06-06,169274,9044,0,542,Jun
167,How To Build Monster Traps | FitMuscleTV,2018-05-29,223264,13668,0,777,May
168,Why I deleted my Video | Bahut ho gaya..,2018-05-25,535666,26539,0,2567,May
169,Best Dumbell Exercise You Are NOT Doing | FitMuscle TV,2018-05-13,112245,5950,0,311,May
170,Cooking Chicken For Jeet Selal - FitMuscle TV,2018-05-03,1645405,70794,0,1647,May
171,No Supplements Needed for a Six Pack Abs Transformation | FitMuscle TV,2018-05-01,266897,8391,0,493,May
172,"LIVE with Jeet Selal, chest and biceps",2018-04-28,153172,12565,0,627,Apr
173,3 Healthy Tea Time  Snack Recipes | FitMuscle TV,2018-04-22,378307,20352,0,791,Apr
174,Do Not Copy Others in the Gym -  Shoulders Hutiyapa | FitMuscle TV,2018-04-17,194289,10558,0,898,Apr
175,Leg Extensions Hutiyapa - FitMuscle TV,2018-04-12,176350,12894,0,950,Apr
176,Best Diet Tips For Vegetarians For Gaining - FitMuscle TV,2018-04-07,231048,12536,0,576,Apr
177,Mr India 2018 Sunit Jadhav vs Ram Niwas. Final Comparison for Tittle.,2018-04-01,267820,10539,0,458,Apr
178,Did Dexter Jackson Insert Synthol in his Biceps ?? | FitMuscle TV,2018-03-30,878878,32949,0,654,Mar
179,TreadMill Hutiyapa + Fit Leauge Update | FitMuscle TV,2018-03-25,123108,6001,0,653,Mar
180,HUTIYAAPA in the Gym | FitMuscle TV,2018-03-20,197214,12288,0,879,Mar
181,Fastest Way To Lose Body Fat | FitMuscle TV,2018-03-17,2208318,96096,0,1549,Mar
182,The bench Press Tip NO ONE Talks About..,2018-03-12,192407,10307,0,560,Mar
183,Reg Park's Original 5X5 Workout Program | FitMuscle TV,2018-03-08,179929,7607,0,678,Mar
184,Why 73% Indian urban men have Man Boobs ? (gynecomastia),2018-02-28,321556,12467,0,1041,Feb
185,Wrong Warmup can Ruin your Entire Workout,2018-02-18,250058,18364,0,1136,Feb
186,Benefits of Keeping your Feet Up.,2018-02-15,110596,7071,0,370,Feb
187,Do Not Train These Muscles Together,2018-02-04,909558,44720,0,1004,Feb
188,"Avoid Eating These 5 ""Health Food""",2018-01-24,703272,35402,0,1486,Jan
189,Superset vs Dropset,2018-01-17,274690,15303,0,628,Jan
190,Whey Protein vs Blend Protein,2018-01-11,174793,7623,0,517,Jan
191,High Protein Bagrry's Muesli -Review,2018-01-06,154310,4892,0,314,Jan
192,"Banana's after workout, Yes or No ??",2018-01-03,391781,21194,0,825,Jan
193,Worst Exercise for Biceps. FMT concept,2017-12-31,203650,14611,0,1800,Dec
194,Best Testosterone boosting stack. all from chemist shop,2017-12-27,563011,35476,0,963,Dec
